2020-01-12 20:25:57,1216456300953067521,@LambbChops @Twitch That face 🤣🤣🤣,0.0,neutral
2020-01-12 20:23:54,1216455786261622784,@LambbChops @Twitch Typical reaction when our goo comes out when when you don’t expect it to 🤷‍♂️,-0.16666666666666666,negative
2020-01-12 20:12:05,1216452813145944065,@LambbChops @Rivalryofgamers @Twitch https://t.co/p5xI9JSUGn,0.0,neutral
2020-01-12 19:55:00,1216448514236080130,@LambbChops Validated.,0.0,neutral
2020-01-12 19:54:42,1216448437018861569,@LambbChops 💛,0.0,neutral
2020-01-12 19:53:43,1216448190280392704,"@nalipls @Chinchillasz @LambbChops @AnnaThePally @Herotherogue @Dilly_WoW @TruskisPro Damn, I gotta get me some boobs. 🤔",0.0,neutral
2020-01-12 19:15:40,1216438614466449408,"@LambbChops I'm not a football person, I'm more for hockey, baseball, fencing, and archery.",0.5,positive
2020-01-12 19:03:28,1216435545452306439,@nalipls @Chinchillasz @LambbChops @AnnaThePally @Herotherogue @Dilly_WoW @TruskisPro BOOBsted. Ok that's my ted talk. Thanks for listening,0.35,positive
2020-01-12 19:02:30,1216435300462813185,"@nalipls @LambbChops @AnnaThePally @Herotherogue @Dilly_WoW @TruskisPro Shit, gg",-0.2,negative
2020-01-12 19:01:45,1216435111933009920,@Chinchillasz @LambbChops @AnnaThePally @Herotherogue @Dilly_WoW @TruskisPro doesn’t matter if you have boobs you’re boosted sorry,-0.5,negative
2020-01-12 18:58:52,1216434384359784449,@LambbChops Then I shall send you a meme I made yesterday. :-) https://t.co/dxtrwbnYuO,0.5,positive
2020-01-12 18:57:32,1216434049801060353,@nalipls @LambbChops @AnnaThePally @Herotherogue @Dilly_WoW I remember one time a few years ago when @TruskisPro an… https://t.co/53clWiB2oE,-0.2,negative
2020-01-12 18:51:51,1216432618100731906,@nalipls @LambbChops @Herotherogue @Dilly_WoW Oooooo you gonna break the Internet with those thoughts,0.0,neutral
2020-01-12 18:50:54,1216432382976225280,@LambbChops @AnnaThePally @Herotherogue @Dilly_WoW If three egirls play together who is boosting the egirls?,0.0,neutral
2020-01-12 18:44:55,1216430877074448391,"@LambbChops It's ok, it happens. What's important is to not stay down. Find something to take your mind off stuff a… https://t.co/JGMQJ8EEEw",0.24814814814814815,positive
2020-01-12 18:12:37,1216422744700702726,"RT @LambbChops: Sound ON and watch the entire video. 

Looking at you, @gamergoo 

#twitchfail #twitch #twitchthot https://t.co/CexseZFafE",0.2,positive
2020-01-12 17:41:03,1216414804044402688,@LambbChops ...you're not wrong at all.,0.25,positive
2020-01-12 16:12:11,1216392439381934080,@LambbChops Love my sit/stand from @autonomousdotai.,0.5,positive
2020-01-12 09:00:09,1216283713664954368,@LambbChops @LSUfootball #GeauxTigers,0.0,neutral
2020-01-12 03:04:40,1216194253157650432,@KrisVines_ @LambbChops Making your own out of the loose parts I feel is the best if you want a Bigger or Multiple… https://t.co/jUKMiyk99n,0.38076923076923075,positive
2020-01-12 02:05:43,1216179419187949568,"@LambbChops Just don't forget the mustard. 

- It's hard to find a desk that's exactly what you want.",-0.020833333333333343,negative
2020-01-12 01:32:20,1216171016566792192,"@LambbChops Jokes on you, I don't leave my house.",0.0,neutral
2020-01-11 21:20:00,1216107513625501696,@Voultar @LambbChops Same. I couldn't get exactly what I wanted otherwise. Probably took me 3 hours in labor plus $… https://t.co/uouR7nvF5r,0.125,positive
2020-01-11 21:10:23,1216105096527872001,"@LambbChops I can't, sorry. I lost my hands in a tomato canning accident back in '09.",-0.25,negative
2020-01-11 21:01:03,1216102746505375744,@LambbChops Lmao,0.6,positive
2020-01-11 21:00:44,1216102667833004038,@LambbChops How it looked after I set it up minus my Switch on the right of my keyboard that is now there for strea… https://t.co/hZsnsChEd4,0.09285714285714285,positive
2020-01-11 20:58:08,1216102012183597056,@LambbChops Idk if it’s my favorite but I get it at the IKEA in Frisco. I put the bottom left shelf pointing out be… https://t.co/CefjvV6vXY,0.25,positive
2020-01-11 20:57:27,1216101839856422914,@LambbChops @Voultar 👍,0.0,neutral
2020-01-11 20:56:02,1216101485018148864,@LambbChops Das sad,-0.5,negative
2020-01-11 20:54:51,1216101185347678209,@LambbChops I have an ikea linnmon. Spacious and fits my needs! But looking for an L-shaped one,0.0,neutral
2020-01-11 20:50:59,1216100212109987842,"@LambbChops I mean, I made mine.",-0.3125,negative
2020-01-11 20:49:26,1216099823881019393,@LambbChops i need one too,0.0,neutral
2020-01-11 20:47:51,1216099426030190595,@LambbChops Be careful,-0.1,negative
2020-01-11 20:32:34,1216095578712682497,@LambbChops Be safe,0.5,positive
2020-01-11 18:06:36,1216058844880629761,@LambbChops Drive safely!,0.625,positive
2020-01-11 06:15:31,1215879894913056768,@Voultar @LambbChops @RetroRGB @Frankenroc Bob is a BBM. Big Beautiful Man.,0.425,positive
